genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
nioella,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
sphingopyxis,5.0,5.0,0.0,0.719,0.73,0.73,0.0,0.01100000000000001,PCuAC only
diaphorobacter,5.0,5.0,0.0,0.752,0.763,0.763,0.0,0.01100000000000001,PCuAC only
janthinobacterium,5.0,1.0,4.0,0.758,0.758,0.758,0.8,0.0,Mixed
microbispora,5.0,3.0,2.0,0.769,0.769,0.775,0.4,0.006000000000000005,Mixed
sphingobium,5.0,5.0,0.0,0.714,0.714,0.719,0.0,0.0050000000000000044,PCuAC only
aliidiomarina,5.0,5.0,0.0,0.752,0.752,0.763,0.0,0.01100000000000001,PCuAC only
hyphomicrobium,5.0,4.0,1.0,0.685,0.69,0.714,0.2,0.028999999999999915,Mixed
brevibacterium,5.0,5.0,0.0,0.741,0.752,0.763,0.0,0.02200000000000002,PCuAC only
thiobacillus,5.0,5.0,0.0,0.758,1.5270000000000001,1.562,0.0,0.804,PCuAC only
pannonibacter,5.0,5.0,0.0,0.719,0.719,0.719,0.0,0.0,PCuAC only
roseixanthobacter,5.0,5.0,0.0,0.694,0.694,0.7040000000000001,0.0,0.01000000000000012,PCuAC only
marivita,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
zoogloea,5.0,5.0,0.0,0.752,0.752,0.752,0.0,0.0,PCuAC only
ferrimonas,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
hoeflea,5.0,4.0,1.0,0.0,0.719,0.752,0.2,0.752,Mixed
palleronia,5.0,5.0,0.0,0.0,0.0,0.752,0.0,0.752,PCuAC only
labrys,5.0,5.0,0.0,0.719,0.719,0.719,0.0,0.0,PCuAC only
rubellimicrobium,5.0,5.0,0.0,0.0,0.746,0.752,0.0,0.752,PCuAC only
gymnodinialimonas,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
thioalkalivibrio,5.0,5.0,0.0,0.735,0.741,0.741,0.0,0.006000000000000005,PCuAC only
terasakiella,5.0,5.0,0.0,0.709,0.709,0.714,0.0,0.0050000000000000044,PCuAC only
caulobacter,5.0,4.0,1.0,0.752,0.752,0.752,0.2,0.0,Mixed
rhizobacter,5.0,4.0,1.0,0.0,0.0,0.0,0.2,0.0,Mixed
endozoicomonas,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
oceanospirillum,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
alkalimonas,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
primorskyibacter,4.0,4.0,0.0,0.0,0.0,0.19225,0.0,0.19225,PCuAC only
aquibium,4.0,3.0,1.0,0.709,0.709,0.709,0.25,0.0,Mixed
steroidobacter,4.0,3.0,1.0,0.79225,0.8130000000000001,0.8130000000000001,0.25,0.020750000000000046,Mixed
actibacterium,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
eikenella,4.0,4.0,0.0,0.6699999999999999,0.6735,0.676,0.0,0.006000000000000116,PCuAC only
zestomonas,4.0,4.0,0.0,0.714,0.7164999999999999,0.8965,0.0,0.1825,PCuAC only
sphingosinicella,4.0,4.0,0.0,0.76875,0.817,0.847,0.0,0.07824999999999993,PCuAC only
paludibacterium,4.0,2.0,2.0,0.7042499999999999,0.7195,0.74425,0.5,0.040000000000000036,Mixed
polaromonas,4.0,1.0,3.0,0.758,0.7605,0.94825,0.75,0.19025000000000003,Mixed
gillisella,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
methyloceanibacter,4.0,4.0,0.0,0.746,0.746,0.998,0.0,0.252,PCuAC only
paenochrobactrum,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
alsobacter,4.0,3.0,1.0,0.5355,0.714,0.8927499999999999,0.25,0.35724999999999996,Mixed
pararhodobacter,4.0,3.0,1.0,0.0,0.0,0.0,0.25,0.0,Mixed
meridianimarinicoccus,4.0,4.0,0.0,0.0,0.0,0.188,0.0,0.188,PCuAC only
roseinatronobacter,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
alishewanella,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
herminiimonas,4.0,4.0,0.0,0.0,0.0,0.1895,0.0,0.1895,PCuAC only
azohydromonas,4.0,4.0,0.0,1.40575,1.4080000000000001,1.4080000000000001,0.0,0.0022500000000000853,PCuAC only
aurantimonas,4.0,3.0,1.0,0.676,0.6875,0.699,0.25,0.02299999999999991,Mixed
psychrosphaera,4.0,3.0,1.0,0.0,0.3905,0.781,0.25,0.781,Mixed
seohaeicola,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
chitinibacter,4.0,1.0,3.0,0.741,0.741,0.741,0.75,0.0,Mixed
nitrobacter,4.0,4.0,0.0,0.694,0.694,0.694,0.0,0.0,PCuAC only
marinospirillum,4.0,3.0,1.0,0.0,0.7244999999999999,1.4489999999999998,0.25,1.4489999999999998,Mixed
halopseudomonas,4.0,4.0,0.0,0.7055,0.7164999999999999,0.7205,0.0,0.015000000000000013,PCuAC only
inhella,4.0,4.0,0.0,0.74475,0.7545,0.763,0.0,0.01824999999999999,PCuAC only
calidithermus,4.0,4.0,0.0,0.781,0.784,0.9902500000000001,0.0,0.20925000000000005,PCuAC only
rugamonas,4.0,1.0,3.0,0.769,0.769,0.769,0.75,0.0,Mixed
pseudorhodobacter,4.0,4.0,0.0,0.0,0.0,0.188,0.0,0.188,PCuAC only
iodidimonas,4.0,4.0,0.0,0.763,0.766,0.769,0.0,0.006000000000000005,PCuAC only
pseudogemmobacter,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
