genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
chitinophaga,6.0,6.0,0.0,0.27299999999999996,0.27349999999999997,0.27474999999999994,0.0,0.0017499999999999738,NirK only
chromobacterium,6.0,1.0,5.0,0.28200000000000003,0.28200000000000003,0.28200000000000003,0.8333333333333334,0.0,Mixed
rugamonas,6.0,3.0,3.0,0.35724999999999996,0.5559999999999999,0.5605,0.5,0.20325000000000004,Mixed
marinobacter,6.0,3.0,3.0,0.28200000000000003,0.28200000000000003,0.28200000000000003,0.5,0.0,Mixed
pseudoduganella,6.0,2.0,4.0,0.27949999999999997,0.281,0.28175000000000006,0.6666666666666666,0.0022500000000000853,Mixed
propionibacterium,6.0,6.0,0.0,0.8025,1.299,1.299,0.0,0.49649999999999994,NirK only
marinobacterium,6.0,0.0,6.0,0.27,0.27449999999999997,0.27899999999999997,1.0,0.008999999999999952,Both proteins
pollutimonas,6.0,5.0,1.0,0.28200000000000003,0.28200000000000003,0.28200000000000003,0.16666666666666666,0.0,Mixed
janibacter,6.0,6.0,0.0,1.29375,1.329,1.329,0.0,0.035250000000000004,NirK only
avibacterium,6.0,6.0,0.0,0.296,0.296,0.296,0.0,0.0,NirK only
cognatundibacterium,6.0,3.0,3.0,0.27499999999999997,0.27749999999999997,0.27999999999999997,0.5,0.0050000000000000044,Mixed
aquamicrobium,6.0,1.0,5.0,0.27999999999999997,0.28200000000000003,0.28625,0.8333333333333334,0.006250000000000033,Mixed
sphingomonas,6.0,3.0,3.0,0.31425000000000003,0.3165,0.32325000000000004,0.5,0.009000000000000008,Mixed
cognatiluteimonas,5.0,5.0,0.0,0.532,0.5349999999999999,0.5349999999999999,0.0,0.0029999999999998916,NirK only
luteococcus,5.0,5.0,0.0,1.266,1.582,1.582,0.0,0.31600000000000006,NirK only
frateuria,5.0,2.0,3.0,0.267,0.267,0.267,0.6,0.0,Mixed
halopseudomonas,5.0,5.0,0.0,0.28200000000000003,0.29,0.563,0.0,0.2809999999999999,NirK only
kangiella,5.0,5.0,0.0,0.28200000000000003,0.28200000000000003,0.291,0.0,0.008999999999999952,NirK only
lacinutrix,5.0,5.0,0.0,0.27499999999999997,0.27499999999999997,0.27499999999999997,0.0,0.0,NirK only
mariniflexile,5.0,5.0,0.0,0.27399999999999997,0.27399999999999997,0.27399999999999997,0.0,0.0,NirK only
cellulosimicrobium,5.0,5.0,0.0,0.9490000000000001,0.9490000000000001,0.9490000000000001,0.0,0.0,NirK only
thermaerobacter,5.0,5.0,0.0,1.17,1.17,1.17,0.0,0.0,NirK only
microbulbifer,5.0,3.0,2.0,0.27599999999999997,0.27599999999999997,0.27599999999999997,0.4,0.0,Mixed
nocardiopsis,5.0,3.0,2.0,1.262,1.278,1.307,0.4,0.04499999999999993,Mixed
oceanimonas,5.0,0.0,5.0,0.27899999999999997,0.27899999999999997,0.27899999999999997,1.0,0.0,Both proteins
paramicrobacterium,5.0,5.0,0.0,1.266,1.266,1.266,0.0,0.0,NirK only
phycicoccus,5.0,5.0,0.0,1.266,1.266,1.27,0.0,0.0040000000000000036,NirK only
sanguibacter,5.0,5.0,0.0,0.943,0.9490000000000001,0.955,0.0,0.01200000000000001,NirK only
serinicoccus,5.0,5.0,0.0,0.946,0.946,0.9520000000000001,0.0,0.006000000000000116,NirK only
acidipropionibacterium,5.0,5.0,0.0,0.637,0.637,0.643,0.0,0.006000000000000005,NirK only
zobellella,5.0,5.0,0.0,0.27899999999999997,0.27899999999999997,0.27899999999999997,0.0,0.0,NirK only
alloalcanivorax,5.0,5.0,0.0,0.28700000000000003,0.293,0.304,0.0,0.01699999999999996,NirK only
arsenicicoccus,5.0,5.0,0.0,0.9490000000000001,0.9490000000000001,0.9490000000000001,0.0,0.0,NirK only
nitrospira,4.0,4.0,0.0,0.30275,0.31,0.38975,0.0,0.08699999999999997,NirK only
methylophaga,4.0,4.0,0.0,0.597,0.597,0.597,0.0,0.0,NirK only
polaromonas,4.0,1.0,3.0,0.281,0.281,0.281,0.75,0.0,Mixed
marilutibacter,4.0,3.0,1.0,0.292,0.41200000000000003,0.5327500000000001,0.25,0.24075000000000008,Mixed
methylocystis,4.0,3.0,1.0,0.28850000000000003,0.2905,0.36224999999999996,0.25,0.07374999999999993,Mixed
stutzerimonas,4.0,0.0,4.0,0.28350000000000003,0.28400000000000003,0.28400000000000003,1.0,0.0005000000000000004,Both proteins
marivirga,4.0,4.0,0.0,0.27349999999999997,0.27399999999999997,0.27399999999999997,0.0,0.0005000000000000004,NirK only
moraxella,4.0,4.0,0.0,0.26,0.2605,0.26125,0.0,0.0012499999999999734,NirK only
actinotalea,4.0,4.0,0.0,0.95125,0.9520000000000001,0.95275,0.0,0.0014999999999999458,NirK only
occultella,4.0,4.0,0.0,0.9490000000000001,0.9490000000000001,0.9505,0.0,0.0014999999999999458,NirK only
noviherbaspirillum,4.0,3.0,1.0,0.281,0.28150000000000003,0.28550000000000003,0.25,0.004500000000000004,Mixed
tomitella,4.0,4.0,0.0,1.27,1.27,1.271,0.0,0.0009999999999998899,NirK only
symbiobacterium,4.0,3.0,1.0,0.51025,0.583,0.584,0.25,0.07374999999999998,Mixed
demequina,4.0,4.0,0.0,0.9572499999999999,0.958,1.039,0.0,0.08174999999999999,NirK only
tahibacter,4.0,2.0,2.0,0.5425,0.5509999999999999,0.627,0.5,0.08450000000000002,Mixed
propioniciclava,4.0,4.0,0.0,1.5970000000000002,1.5970000000000002,1.5970000000000002,0.0,0.0,NirK only
confluentibacter,4.0,4.0,0.0,0.27399999999999997,0.27399999999999997,0.27725,0.0,0.0032500000000000306,NirK only
flexivirga,4.0,4.0,0.0,0.958,1.1179999999999999,1.278,0.0,0.32000000000000006,NirK only
agromyces,4.0,3.0,1.0,1.18825,1.27,1.2855,0.25,0.09725000000000006,Mixed
knoellia,4.0,4.0,0.0,0.95425,0.955,0.9575,0.0,0.003249999999999975,NirK only
pseudorhizobium,4.0,0.0,4.0,0.31675,0.627,0.9369999999999999,1.0,0.62025,Both proteins
shinella,4.0,1.0,3.0,0.27999999999999997,0.27999999999999997,0.28049999999999997,0.75,0.0005000000000000004,Mixed
iodobacter,4.0,0.0,4.0,0.5285,0.604,0.604,1.0,0.07550000000000001,Both proteins
algibacter,4.0,4.0,0.0,0.27399999999999997,0.27399999999999997,0.27449999999999997,0.0,0.0005000000000000004,NirK only
aestuariibaculum,4.0,4.0,0.0,0.27499999999999997,0.27499999999999997,0.27499999999999997,0.0,0.0,NirK only
salegentibacter,4.0,4.0,0.0,0.272,0.272,0.27275,0.0,0.0007499999999999729,NirK only
cognatilysobacter,4.0,4.0,0.0,0.28200000000000003,0.40700000000000003,0.533,0.0,0.251,NirK only
microtetraspora,3.0,3.0,0.0,1.264,1.266,1.272,0.0,0.008000000000000007,NirK only
billgrantia,3.0,0.0,3.0,0.28200000000000003,0.28200000000000003,0.28200000000000003,1.0,0.0,Both proteins
blastococcus,3.0,3.0,0.0,0.9490000000000001,0.9490000000000001,0.952,0.0,0.0029999999999998916,NirK only
agrilutibacter,3.0,1.0,2.0,0.528,0.528,0.53,0.6666666666666666,0.0020000000000000018,Mixed
flavivirga,3.0,3.0,0.0,0.27699999999999997,0.27699999999999997,0.27699999999999997,0.0,0.0,NirK only
fodinicurvata,3.0,1.0,2.0,0.627,0.627,0.629,0.6666666666666666,0.0020000000000000018,Mixed
flaviflexus,3.0,2.0,1.0,1.274,1.274,1.28,0.3333333333333333,0.006000000000000005,Mixed
