species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
hydrogenophaga sp. pbl-h3,434010,Hydrogenophaga sp. PBL-H3,0,1,pcuac_only,NA,WP_159603792.1,0
andreprevotia sp. igb-42,2497473,Andreprevotia sp. IGB-42,0,1,pcuac_only,NA,WP_159669198.1,0
massilia sp. 9i,2653152,Massilia sp. 9I,0,1,pcuac_only,NA,WP_159695633.1,0
methylosinus sp. ce-a6,2172005,Methylosinus sp. Ce-a6,0,1,pcuac_only,NA,WP_159729976.1,0
litoreibacter roseus,2601869,Litoreibacter roseus,0,1,pcuac_only,NA,WP_159804407.1,1
colwellia sp. 20a7,2689569,Colwellia sp. 20A7,0,1,pcuac_only,NA,WP_159821451.1,0
brevundimonas sp. g8,1350776,Brevundimonas sp. G8,0,1,pcuac_only,NA,WP_159850092.1,0
aquitalea denitrificans,519081,Aquitalea denitrificans,0,1,pcuac_only,NA,WP_159880252.1,1
pseudomonas sp. ld120,485751,Pseudomonas sp. LD120,0,1,pcuac_only,NA,WP_159890351.1,0
rhizobium sp. 18065,2681411,Rhizobium sp. 18065,0,1,pcuac_only,NA,WP_159947886.1,0
pseudomonas sp. r76,1573711,Pseudomonas sp. R76,0,1,pcuac_only,NA,WP_159955549.1,0
pseudomonas sp. 9ag,2653167,Pseudomonas sp. 9Ag,0,1,pcuac_only,NA,WP_159967715.1,0
pseudomonas sp. 8z,2653166,Pseudomonas sp. 8Z,0,1,pcuac_only,NA,WP_159973596.1,0
roseobacter cerasinus,2602289,Roseobacter cerasinus,0,1,pcuac_only,NA,WP_159981004.1,1
pseudomonas sp. 8bk,2653164,Pseudomonas sp. 8BK,0,1,pcuac_only,NA,WP_160016045.1,0
pseudomonas sp. 8o,2653165,Pseudomonas sp. 8O,0,1,pcuac_only,NA,WP_160017192.1,0
psychromonas sp. l1a2,2686356,Psychromonas sp. L1A2,0,1,pcuac_only,NA,WP_160063819.1,0
pseudomonas sp. 8as,2653163,Pseudomonas sp. 8AS,0,1,pcuac_only,NA,WP_160080451.1,0
pseudomonas sp. 9az,2653168,Pseudomonas sp. 9AZ,0,1,pcuac_only,NA,WP_160089044.1,0
billgrantia desiderata,1191209;52021;52021,Billgrantia desiderata,0,1,pcuac_only,NA,WP_160113352.1,1
sphingosinicella microcystinivorans,335406,Sphingosinicella microcystinivorans,0,1,pcuac_only,NA,WP_271258308.1,1
pseudomonas xionganensis,2654845,Pseudomonas xionganensis,0,1,pcuac_only,NA,WP_160343643.1,1
unclassified bordetella,2572246;2630031;2683195,Bordetella sp. 15P40C-2;unclassified Bordetella;Bordetella sp. 02P26C-1,0,1,pcuac_only,NA,WP_160349885.1,1
pseudomonas sp. r-28-1w-6,2650101,Pseudomonas sp. R-28-1W-6,0,1,pcuac_only,NA,WP_160490635.1,0
pyruvatibacter mobilis,1712261,Pyruvatibacter mobilis,0,1,pcuac_only,NA,WP_160588908.1,1
sphingomonas changnyeongensis,2698679,Sphingomonas changnyeongensis,0,1,pcuac_only,NA,WP_160593084.1,1
photobacterium alginatilyticum,1775171,Photobacterium alginatilyticum,0,1,pcuac_only,NA,WP_160658127.1,1
stappia sediminis,2692190,Stappia sediminis,0,1,pcuac_only,NA,WP_160776245.1,1
shewanella insulae,2681496,Shewanella insulae,0,1,pcuac_only,NA,WP_160797070.1,1
oceanomicrobium pacificus,2692916,Oceanomicrobium pacificus,0,1,pcuac_only,NA,WP_160856182.1,1
shinella kummerowiae,417745,Shinella kummerowiae,0,1,pcuac_only,NA,WP_160861465.1,1
shinella sp. aetb1-6,2692210,Shinella sp. AETb1-6,0,1,pcuac_only,NA,WP_160870829.1,0
rhodococcus rhodochrous,1827;1829;3413280;3692753,Rhodococcus;Rhodococcus rhodochrous;Rhodococcus sp. AB351;Rhodococcus sp. S3,0,1,pcuac_only,NA,WP_160877065.1,1
brevibacterium rongguiense,1696;2695267;2999062,Brevibacterium;Brevibacterium rongguiense;Brevibacterium sp. BRM-1,0,1,pcuac_only,NA,WP_160953868.1,1
thalassovita mangrovi,2692236,Thalassovita mangrovi,0,1,pcuac_only,NA,WP_160974558.1,1
duganella flavida,2692175,Duganella flavida,0,1,pcuac_only,NA,WP_161009886.1,1
duganella rivi,2666083,Duganella rivi,0,1,pcuac_only,NA,WP_161014255.1,1
duganella levis,2692169,Duganella levis,0,1,pcuac_only,NA,WP_161057955.1,1
photobacterium lucens,2562949,Photobacterium lucens,0,1,pcuac_only,NA,WP_161118635.1,1
malikia spinosa,86180,Malikia spinosa,0,1,pcuac_only,NA,WP_161125934.1,1
halomonas alimentaria,147248,Halomonas alimentaria,0,1,pcuac_only,NA,WP_161431077.1,1
vibrio sp. v43_p6s15p86,1938694,Vibrio sp. V43_P6S15P86,0,1,pcuac_only,NA,WP_161446074.1,0
bradyrhizobium sp. lct2,2493093,Bradyrhizobium sp. LCT2,0,1,pcuac_only,NA,WP_161534786.1,0
pannonibacter tanglangensis,2750084,Pannonibacter tanglangensis,0,1,pcuac_only,NA,WP_161676330.1,1
novosphingobium ovatum,1908523,Novosphingobium ovatum,0,1,pcuac_only,NA,WP_161718974.1,1
paragemmobacter ruber,1985673;1985673;2005166;31989,Paracoccaceae;Paragemmobacter ruber;Tabrizicola sp.,0,1,pcuac_only,NA,WP_161766976.1,1
steroidobacter agaridevorans,2695856,Steroidobacter agaridevorans,0,1,pcuac_only,NA,WP_161810400.1,1
algicella marina,2683284,Algicella marina,0,1,pcuac_only,NA,WP_161863291.1,1
pseudomonas yangonensis,2579922,Pseudomonas yangonensis,0,1,pcuac_only,NA,WP_161867285.1,1
methylosinus sp. c49,2699395,Methylosinus sp. C49,0,1,pcuac_only,NA,WP_161912860.1,0
simplicispira sedimenti,2699468;2919500;80864,Comamonadaceae;Acidovorax sp. 210-6;Simplicispira sedimenti,0,1,pcuac_only,NA,WP_162015016.1,1
vibrio taketomensis,2572923,Vibrio taketomensis,0,1,pcuac_only,NA,WP_162047758.1,1
fluviibacter phosphoraccumulans,1751046,Fluviibacter phosphoraccumulans,0,1,pcuac_only,NA,WP_162048985.1,1
vibrio sp. lb10lo1,2711207,Vibrio sp. LB10LO1,0,1,pcuac_only,NA,WP_162092520.1,0
lentilitoribacter sp. alg239-r112,2305987,Lentilitoribacter sp. Alg239-R112,0,1,pcuac_only,NA,WP_162651176.1,0
phyllobacterium trifolii,300193,Phyllobacterium trifolii,0,1,pcuac_only,NA,WP_162701803.1,1
sphingomonas ginsengisoli,13687;363835;386874,Sphingomonas;Sphingomonas ginsengisoli (ex An et al. 2013);Sphingomonas sediminicola,0,1,pcuac_only,NA,WP_162789137.1,1
paracoccus indicus,2079229,Paracoccus indicus,0,1,pcuac_only,NA,WP_162798946.1,1
aliiroseovarius sp. prr006,2706883,Aliiroseovarius sp. PrR006,0,1,pcuac_only,NA,WP_163038379.1,0
aurantimonas aggregata,2047720,Aurantimonas aggregata,0,1,pcuac_only,NA,WP_163042569.1,1
ancylobacter pratisalsi,1745854,Ancylobacter pratisalsi,0,1,pcuac_only,NA,WP_163073936.1,1
agarivorans aestuarii,1563703;1563703;2305992;261825,Agarivorans aestuarii,0,1,pcuac_only,NA,WP_163133211.1,1
unclassified arhodomonas,2621637;2679915;3344194,unclassified Arhodomonas;Arhodomonas sp. KWT;Arhodomonas sp. KWT2,0,1,pcuac_only,NA,WP_163143891.1,1
bradyrhizobium uaiense,2594946,Bradyrhizobium uaiense,0,1,pcuac_only,NA,WP_163153485.1,1
chelativorans alearensis,2681495,Chelativorans alearensis,0,1,pcuac_only,NA,WP_163269273.1,1
ideonella livida,2707176,Ideonella livida,0,1,pcuac_only,NA,WP_163457778.1,1
jiella pacifica,2696469,Jiella pacifica,0,1,pcuac_only,NA,WP_163466103.1,1
halomonas sp. no4,2484813,Halomonas sp. NO4,0,1,pcuac_only,NA,WP_163557925.1,0
halomonas faecis,1562110,Halomonas faecis,0,1,pcuac_only,NA,WP_163578007.1,1
methylobacterium sp. btf04,2708300,Methylobacterium sp. BTF04,0,1,pcuac_only,NA,WP_163641755.1,0
sheuella amnicola,2707330,Sheuella amnicola,0,1,pcuac_only,NA,WP_163651595.1,1
magnetospirillum aberrantis,1105283;908842,Magnetospirillum aberrantis SpK;Magnetospirillum aberrantis,0,1,pcuac_only,NA,WP_163679815.1,1
paenirhizobium daejeonense,240521,Paenirhizobium daejeonense,0,1,pcuac_only,NA,WP_163899346.1,1
paraferrimonas sp. sm1919,2662263,Paraferrimonas sp. SM1919,0,1,pcuac_only,NA,WP_163937788.1,0
pseudomonas laurentiana,2364649,Pseudomonas laurentiana,0,1,pcuac_only,NA,WP_163938113.1,1
ruegeria sp. prr005,2706882,Ruegeria sp. PrR005,0,1,pcuac_only,NA,WP_164132923.1,0
salipiger sp. prr002,2706489,Salipiger sp. PrR002,0,1,pcuac_only,NA,WP_164181173.1,0
unclassified salipiger,2640570;2706776;2706884,unclassified Salipiger;Salipiger sp. PrR003;Salipiger sp. PrR007,0,1,pcuac_only,NA,WP_164189571.1,1
wenzhouxiangella limi,2707351,Wenzhouxiangella limi,0,1,pcuac_only,NA,WP_164212253.1,1
