species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
alicycliphilus denitrificans,179636;179636;596153;179636;596154,Alicycliphilus denitrificans,1,1,both,WP_404303341.1,WP_013518099.1,1
knoellia locipacati,882824,Knoellia locipacati,1,0,nirK_only,WP_404383477.1,NA,1
humibacillus xanthopallidus,412689,Humibacillus xanthopallidus,1,0,nirK_only,WP_404389803.1,NA,1
lotipaludicoccus stagni,3034021,Lotipaludicoccus stagni,1,0,nirK_only,WP_404425923.1,NA,1
ornithinimicrobium jinqii,3378801,Ornithinimicrobium jinqii,1,0,nirK_only,WP_405031980.1,NA,1
chryseobacterium oryctis,2952618,Chryseobacterium oryctis,1,0,nirK_only,WP_406567623.1,NA,1
streptomyces okerensis,3344655,Streptomyces okerensis,1,0,nirK_only,WP_407110201.1,NA,1
pengzhenrongella phosphoraccumulans,3114394,Pengzhenrongella phosphoraccumulans,1,1,both,WP_407343968.1,WP_407345454.1,1
kangiella aquimarina,1122134;261965,Kangiella aquimarina;Kangiella aquimarina DSM 16071,1,0,nirK_only,WP_407635760.1,NA,1
tenacibaculum litoreum,321269,Tenacibaculum litoreum,1,0,nirK_only,WP_408027252.1,NA,1
tenacibaculum crassostreae,502683,Tenacibaculum crassostreae,1,0,nirK_only,WP_408046910.1,NA,1
cognatundibacterium rivi,2828729,Cognatundibacterium rivi,1,0,nirK_only,WP_408058748.1,NA,1
leptospira wolbachii,1218599;29511,Leptospira wolbachii;Leptospira wolbachii serovar Codice str. CDC,1,0,nirK_only,WP_408605938.1,NA,1
flavobacterium piscis,1114874,Flavobacterium piscis,1,0,nirK_only,WP_409025191.1,NA,1
leptospira kanakyensis,2484968,Leptospira kanakyensis,1,0,nirK_only,WP_409035595.1,NA,1
polaribacter gochangensis,3252903,Polaribacter gochangensis,1,0,nirK_only,WP_409232783.1,NA,1
gillisia xinjiangensis,3384765,Gillisia xinjiangensis,1,0,nirK_only,WP_409539355.1,NA,1
aequorivita nionensis,1287690,Aequorivita nionensis,1,0,nirK_only,WP_410004959.1,NA,1
faucicola mancuniensis,1309795,Faucicola mancuniensis,1,0,nirK_only,WP_410471642.1,NA,1
capnocytophaga genosp.,327574,Capnocytophaga genosp. AHN8471,1,0,nirK_only,WP_410494254.1,NA,1
oryzobacter faecalis,3388656,Oryzobacter faecalis,1,0,nirK_only,WP_411940144.1,NA,1
rubrivirga aquatilis,3391575,Rubrivirga aquatilis,1,0,nirK_only,WP_412069934.1,NA,1
cellulomonas jepli,3142378,Cellulomonas jepli,1,0,nirK_only,WP_412868934.1,NA,1
noviherbaspirillum phoenicis,3132292,Noviherbaspirillum phoenicis,1,1,both,WP_413018284.1,WP_413014145.1,1
